UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
11,0,23,8,12,800,1.603807616
11,1,23,2,12,1150,1.739789827
11,1,35,8,15,880,1.760443822
11,0,46,2,6,3500,1.783157945
11,1,47,8,9,150,1.690630954
11,1,34,8,12,790,1.637905598
11,0,57,8,12,3150,1.570078218
11,1,60,8,12,1700,1.608495442
11,1,50,4,14,1800,1.780328883
11,0,26,8,12,1150,1.793202625
11,1,46,8,12,3000,1.787003282
11,1,49,8,6,2500,1.712911548
11,1,52,2,6,1200,1.736442076
11,0,38,8,12,2000,1.750826666
11,0,45,2,12,2000,1.780450392
11,0,34,2,16,6000,1.711825037
11,1,43,8,10,1050,1.789011804
11,0,53,8,16,7000,1.673665133
11,0,57,2,12,2000,1.715137632
11,1,62,8,12,1150,1.76597309
11,0,69,8,1,3030,1.746351196
11,1,41,8,16,4000,1.660873129
11,0,34,8,5,788,1.746048026
11,0,25,8,12,1000,1.726496158
11,0,33,8,9,800,1.778913561
11,1,44,8,5,788,1.668637941
11,0,33,2,16,1600,1.783770601
11,0,65,2,12,1700,1.873445247
11,0,33,8,14,2000,1.890250314
11,0,32,8,12,2400,1.660204145
11,0,43,8,5,3000,1.636361741
11,0,30,8,1,920,1.685590822
11,0,26,2,10,1300,1.68402625
11,0,52,2,15,2000,1.67104419
11,0,62,8,1,1300,1.632129706
11,0,64,6,5,600,1.712121503
11,0,31,8,7,1200,1.763447989
11,0,63,2,3,1000,1.694500204
11,1,40,2,9,1000,1.705147683
11,0,47,4,9,1500,1.672258066
11,0,34,2,7,900,1.645452653
11,0,33,8,6,900,1.814785789
11,0,63,8,6,0,1.652746296
11,1,40,8,2,300,1.757341995
11,0,41,8,6,1600,1.611286043
11,0,28,2,10,1500,1.693976403
11,1,32,8,12,750,1.684819452
11,0,44,2,1,800,1.701974845
11,1,38,2,12,3600,1.599083153
11,0,41,2,4,1500,1.646862718
11,0,62,8,8,3000,1.752071058
11,0,37,8,7,2300,1.576576371
11,0,41,2,12,1500,1.697451547
11,0,41,8,12,4500,1.573698003
11,1,46,2,16,4800,1.727453392
11,1,46,8,12,900,1.663525091
11,1,45,2,7,400,1.450378572
11,0,60,8,2,1050,1.75151196
11,1,38,8,7,850,1.599067442
11,1,32,8,12,650,1.62281412
11,1,39,8,6,300,1.523482727
11,1,49,8,5,900,1.677850056
